LVDT,,Force
0.00729408,,2.10043755
0.00729408,,2.1367773
0.00763599,,2.14404525
0.00740805,,2.1513132
0.00695217,,2.1658491
0.00729408,,2.15858115
0.00752202,,2.180385
0.00729408,,2.18765295
0.00718011,,2.20218885
0.00740805,,2.2191474
0.00790192,,2.22641535
0.00763599,,2.2482192
0.00774996,,2.2336833
0.00774996,,2.25548715
0.00801589,,2.277291
0.00801589,,2.27002305
0.00790192,,2.28455895
0.00774996,,2.29909485
0.00763599,,2.2918269
0.00729408,,2.2918269
0.00706614,,2.3063628
0.00718011,,2.3063628
0.00729408,,2.32816665
0.00695217,,2.3208987
0.00718011,,2.3208987
0.00740805,,2.31363075
0.00763599,,2.32816665
0.00752202,,2.31363075
0.00752202,,2.32816665
0.00752202,,2.3596611
0.00774996,,2.34270255
0.00790192,,2.3499705
0.00763599,,2.38146495
0.00774996,,2.374197
0.00752202,,2.374197
0.00729408,,2.39600085
0.00790192,,2.4032688
0.00763599,,2.4178047
0.00763599,,2.43960855
0.00790192,,2.42507265
0.00824383,,2.4468765
0.00790192,,2.45414445
0.00812986,,2.48321625
0.00801589,,2.4904842
0.00790192,,2.48321625
0.00812986,,2.50744275
0.00801589,,2.52197865
0.00801589,,2.5292466
0.00812986,,2.53651455
0.00824383,,2.50744275
0.0083578,,2.5147107
0.0083578,,2.52197865
0.00858574,,2.48321625
0.00881368,,2.4178047
0.00869971,,2.4032688
0.00869971,,2.3354346
0.00869971,,2.34270255
0.00869971,,2.32816665
0.00881368,,2.32816665
0.00869971,,2.3596611
0.00892765,,2.2918269
0.00904162,,2.2482192
0.00904162,,2.2482192
0.00892765,,2.27002305
0.00904162,,2.27002305
0.00904162,,2.2918269
0.00892765,,2.31363075
0.00858574,,2.3063628
0.00824383,,2.3208987
0.00824383,,2.32816665
0.00847177,,2.36692905
0.00847177,,2.3887329
0.00847177,,2.39600085
0.00858574,,2.41053675
0.00824383,,2.46868035
0.00812986,,2.4468765
0.0083578,,2.46868035
0.00869971,,2.48321625
0.00847177,,2.4759483
0.0083578,,2.5437825
0.00847177,,2.55105045
0.00869971,,2.5583184
0.00892765,,2.5873902
0.00904162,,2.63826585
0.00904162,,2.63826585
0.00892765,,2.66249235
0.00904162,,2.6988321
0.00926956,,2.69156415
0.00926956,,2.7715116
0.00938353,,2.7569757
0.00961147,,2.81754195
0.00961147,,2.83207785
0.01010534,,2.83207785
0.01021931,,2.8829535
0.01033328,,2.87568555
0.00995338,,2.9120253
0.01010534,,2.9362518
0.01021931,,2.91929325
0.01033328,,2.97259155
0.01033328,,2.9798595
0.01044725,,3.0089313
0.01044725,,3.0380031
0.01056122,,3.04527105
0.01044725,,3.09856935
0.01056122,,3.11310525
0.01056122,,3.1203732
0.01067519,,3.14217705
0.01113107,,3.1349091
0.01124504,,3.1639809
0.01124504,,3.15671295
0.01147298,,3.1639809
0.01158695,,3.1639809
0.01147298,,3.20032065
0.01170092,,3.22454715
0.01192886,,3.2318151
0.0121568,,3.2899587
0.01204283,,3.31176255
0.01192886,,3.3190305
0.01181489,,3.37959675
0.01158695,,3.4159365
0.01192886,,3.4159365
0.01192886,,3.4304724
0.01170092,,3.42320445
0.01192886,,3.46681215
0.01192886,,3.4740801
0.01204283,,3.50557455
0.0121568,,3.5273784
0.01276464,,3.54918225
0.01299258,,3.6000579
0.01287861,,3.585522
0.01287861,,3.6533562
0.01265067,,3.67516005
0.01299258,,3.6533562
0.01333449,,3.71876775
0.01310655,,3.7260357
0.01344846,,3.74783955
0.01333449,,3.73330365
0.01333449,,3.7841793
0.01333449,,3.83020965
0.0136764,,3.8229417
0.01436022,,3.8520135
0.01447419,,3.8665494
0.01462615,,3.8956212
0.01436022,,3.95618745
0.01436022,,3.9634554
0.01485409,,4.0070631
0.01496806,,3.9925272
0.01474012,,4.01433105
0.01474012,,4.04340285
0.01485409,,4.0894332
0.01474012,,4.08216525
0.01474012,,4.14030885
0.01474012,,4.16938065
0.01485409,,4.15484475
0.01496806,,4.22267895
0.01508203,,4.2444828
0.01553791,,4.22267895
0.01542394,,4.26628665
0.01530997,,4.28082255
0.01576585,,4.29535845
0.01587982,,4.3316982
0.01576585,,4.35350205
0.01587982,,4.35350205
0.01610776,,4.4140683
0.01682957,,4.40680035
0.01667761,,4.457676
0.01694354,,4.4867478
0.01728545,,4.49401575
0.01751339,,4.5400461
0.01774133,,4.54731405
0.0178553,,4.5691179
0.01774133,,4.60545765
0.01762736,,4.61999355
0.01762736,,4.6805598
